item_id,order_id,product_id,quantity,unit_price_cents
I001a,O001,P1,1,9000
I002a,O002,P1,1,10000
I003a,O003,P1,1,11000
I003b,O003,P2,2,3000
I004a,O004,P1,1,8000
I005a,O005,P1,1,9000
I006a,O006,P1,1,10000
I006b,O006,P2,2,3000
I007a,O007,P1,1,11000
I008a,O008,P1,1,8000
I009a,O009,P1,1,9000
I009b,O009,P2,2,3000
I010a,O010,P1,1,10000
I011a,O011,P1,1,11000
I012a,O012,P1,1,8000
I012b,O012,P2,2,3000
I013a,O013,P1,1,9000
I014a,O014,P1,1,10000
I015a,O015,P1,1,11000
I015b,O015,P2,2,3000
I016a,O016,P1,1,8000
I017a,O017,P1,1,9000
I018a,O018,P1,1,10000
I018b,O018,P2,2,3000
I019a,O019,P1,1,11000
I020a,O020,P1,1,8000
I021a,O021,P1,1,9000
I021b,O021,P2,2,3000
I022a,O022,P1,1,10000
I023a,O023,P1,1,11000
I024a,O024,P1,1,8000
I024b,O024,P2,2,3000
