order_id,customer_id,ordered_at,currency
O001,C001,2026-08-01,USD
O002,C002,2026-08-02,USD
O003,C003,2026-08-03,USD
O004,C004,2026-08-04,USD
O005,C005,2026-08-05,USD
O006,C006,2026-08-06,USD
O007,C007,2026-08-07,USD
O008,C008,2026-08-08,USD
O009,C009,2026-08-09,USD
O010,C010,2026-08-10,USD
O011,C011,2026-08-11,USD
O012,C012,2026-08-12,USD
O013,C001,2026-08-13,USD
O014,C002,2026-08-14,USD
O015,C003,2026-08-15,USD
O016,C004,2026-08-16,USD
O017,C005,2026-08-17,USD
O018,C006,2026-08-18,USD
O019,C007,2026-08-19,USD
O020,C008,2026-08-20,USD
O021,C009,2026-08-21,USD
O022,C010,2026-08-22,USD
O023,C011,2026-08-23,USD
O024,C012,2026-08-24,USD
O001,C001,2026-08-01,USD
